City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
Bambous Virieux,-20.34,57.76,70.86,88,75,13.87
Vostok,46.49,135.88,27.7,100,100,4.79
Ust-Kuyga,70.02,135.6,4.66,88,0,8.41
Grajaú,-5.82,-46.14,80.46,71,100,2.66
Mayo,38.89,-76.51,69.22,88,75,8.05
Hamilton,39.18,-84.53,49.98,53,75,11.41
Hasaki,35.73,140.83,44.6,100,20,1.12
Nova Olímpia,-14.8,-57.29,76.93,85,100,4.9
Katsuura,35.13,140.3,57.22,54,75,13.87
Darnah,32.77,22.64,70.3,72,0,15.9
Mollendo,-17.02,-72.01,64.36,71,23,5.3
Abnūb,27.27,31.15,78.8,36,0,11.41
Pemba,-12.97,40.52,77.0,88,40,4.7
Chardara,41.25,67.97,44.35,59,0,5.82
Haines Junction,60.75,-137.51,27.93,73,100,1.3
Limbang,4.75,115.0,78.4,94,75,3.36
Qaqortoq,60.72,-46.03,26.6,73,33,4.7
Linkou,45.3,130.28,30.81,95,0,4.52
Mount Gambier,-37.83,140.77,46.4,75,75,9.17
Sabang,5.89,95.32,77.27,86,100,15.93
Isangel,-19.55,169.27,80.6,69,75,11.43
Cayenne,4.93,-52.33,84.2,74,20,5.82
Taoudenni,22.68,-3.98,88.18,12,0,7.99
Iracoubo,5.48,-53.2,82.49,76,70,12.82
Murray Bridge,-35.12,139.27,45.03,92,96,13.47
Muhafazat Lahij,13.17,44.58,77.22,46,7,4.32
Danville,36.59,-79.39,73.98,57,75,4.7
Seydişehir,37.42,31.85,56.12,38,4,2.19
Haradok,55.46,29.98,45.57,96,90,6.6
Leningradskiy,69.38,178.42,22.68,93,30,7.29
Walvis Bay,-22.96,14.51,56.61,87,0,5.82
Plouzané,48.38,-4.62,53.04,87,71,13.87
Fort Nelson,58.81,-122.7,30.2,39,5,4.7
Rauma,61.13,21.51,35.6,93,90,2.24
Cabedelo,-6.98,-34.83,78.8,83,75,8.05
Cruzeiro do Sul,-29.51,-51.99,77.65,76,88,5.75
Tromsø,69.65,18.96,37.4,87,40,17.22
El Dorado,38.77,-120.52,67.55,37,1,5.82
Port Hedland,-20.32,118.57,68.0,88,0,8.05
Ucluelet,48.93,-125.55,51.24,46,5,5.82
Kokopo,-4.35,152.26,82.08,71,25,3.15
San Patricio,28.02,-97.52,73.47,46,75,6.93
Qian’an,44.99,124.06,36.16,80,0,5.21
Rio Branco,-9.97,-67.81,91.4,55,40,4.7
Alberton,46.82,-64.07,53.28,87,100,7.63
Khandyga,62.67,135.6,9.5,92,40,2.39
Raja,8.46,25.68,73.54,85,77,2.75
Synya,65.37,58.04,22.64,96,100,0.74
Touros,-5.2,-35.46,78.8,83,40,9.17
Cockburn Town,21.46,-71.14,86.0,70,40,11.41
Beidao,34.57,105.89,53.28,73,98,1.5
Chimoré,-16.98,-65.13,93.0,40,92,0.4
Poronaysk,49.22,143.12,42.51,85,100,7.81
Novy Urengoy,66.08,76.63,12.9,95,78,7.63
Cidreira,-30.18,-50.21,68.54,89,63,13.09
Porto Walter,-8.27,-72.74,91.26,47,97,3.85
Jiuquan,39.74,98.52,41.5,61,100,6.02
Pekan,3.48,103.4,77.0,94,20,3.36
Rundu,-17.93,19.77,74.59,20,20,5.77
Springdale,36.19,-94.13,46.8,87,90,3.36
Krasnoarmeysk,51.02,45.7,53.01,76,100,4.14
Alto Lucero,19.62,-96.72,76.87,67,23,3.53
Christchurch,-43.53,172.63,73.4,43,79,6.93
Igrim,63.19,64.42,25.16,93,100,9.44
Caborca,30.58,-111.1,91.99,28,0,1.01
Poum,-20.23,164.02,77.95,78,0,18.68
Oranjemund,-28.55,16.43,59.27,92,15,7.7
Tezu,27.92,96.17,70.25,86,100,3.36
Luba,3.46,8.55,78.82,80,81,3.85
Jacmel,18.23,-72.53,91.4,52,40,12.75
Bambanglipuro,-7.95,110.28,77.23,88,99,8.03
Waddān,29.16,16.14,62.92,45,0,4.21
Mahibadhoo,3.78,72.97,82.76,76,77,11.3
Port Hardy,50.7,-127.42,46.4,49,5,13.87
Constitución,-35.33,-72.42,55.18,79,100,16.13
Alta Floresta,-9.88,-56.09,73.2,95,96,4.0
Vanimo,-2.67,141.3,80.31,82,87,2.37
Pirot,43.15,22.59,55.99,10,100,0.34
Abu Dhabi,24.47,54.37,77.25,61,0,2.24
Ancud,-41.87,-73.82,45.97,87,90,12.75
Huai'an,33.59,119.02,51.08,72,77,5.44
Turukhansk,65.82,87.98,8.85,95,100,5.26
Brae,60.4,-1.35,50.0,81,79,10.29
Marrakesh,31.63,-8.01,66.2,55,0,6.93
Colesberg,-30.72,25.1,73.11,20,0,9.24
Linjiang,41.81,126.91,30.9,90,0,1.79
Ilulissat,69.22,-51.1,21.2,57,51,10.29
Koster,-25.86,26.9,68.2,60,26,13.91
Camaná,-16.62,-72.71,66.07,65,9,6.15
Saint-Augustin,51.23,-58.65,45.93,86,100,17.58
Prince Rupert,54.32,-130.32,42.8,33,1,6.93
El Dovio,4.51,-76.24,66.2,88,40,6.93
Bac Lieu,9.29,105.72,77.13,88,89,3.71
Sakakah,29.97,40.21,68.0,16,0,6.93
Viedma,-40.81,-63.0,80.01,51,25,8.01
Yulara,-25.24,130.99,59.0,47,0,11.41
Aripuanã,-9.17,-60.63,78.84,79,100,2.95
Bengkulu,-3.8,102.27,76.33,84,100,3.83
Goulburn,-34.75,149.72,46.72,93,100,11.63
Serov,59.6,60.58,27.66,98,100,4.74
Boende,-0.22,20.87,72.09,98,100,3.31
Xingyi,24.19,102.82,50.59,93,57,1.45
Vila Franca do Campo,37.72,-25.43,68.0,82,75,17.22
Ambam,2.38,11.28,69.3,98,100,2.91
Cangas do Morrazo,42.26,-8.78,63.03,93,75,23.04
Nelson Bay,-32.72,152.15,60.94,93,90,18.34
Lavrentiya,65.58,-171.0,33.75,87,56,7.23
Yangambi,0.81,24.43,71.11,95,73,1.74
Half Moon Bay,37.46,-122.43,66.31,68,1,4.7
Hay River,60.82,-115.8,30.2,68,75,8.05
Luanda,-8.84,13.23,77.0,78,75,6.93
Manjacaze,-24.71,33.88,66.09,93,66,4.94
Babayurt,43.6,46.78,56.97,64,0,3.11
Aksu,41.12,80.26,44.13,49,36,1.66
Kawambwa,-9.79,29.08,70.41,54,29,0.22
Ketchikan,55.34,-131.65,43.9,24,1,5.82
Doha,25.29,51.53,77.65,69,0,2.24
Callaway,30.15,-85.57,69.67,94,20,4.7
Dalbandin,28.89,64.41,50.2,43,0,2.01
Awjilah,29.11,21.29,65.12,75,0,10.54
Tucupita,9.06,-62.05,78.84,84,84,4.47
Dudinka,69.41,86.18,14.0,92,75,11.18
Ajdabiya,30.76,20.23,68.25,66,0,7.14
Rāwatbhāta,24.93,75.58,71.47,39,26,5.95
Solnechnyy,50.72,136.63,37.4,91,100,16.49
Jumla,29.27,82.18,42.87,52,0,5.48
Helong,42.54,129.0,35.2,77,0,7.63
Departamento de Maldonado,-34.67,-54.92,65.21,88,75,10.29
Guiratinga,-16.35,-53.76,78.21,74,72,5.14
Pointe-Noire,-4.78,11.86,76.46,87,98,8.1
Celestún,20.87,-90.4,82.69,77,49,15.14
Trenggalek,-8.05,111.72,74.91,87,76,1.52
Liwonde,-15.05,35.2,78.33,47,92,5.79
Tulsīpur,28.13,82.3,65.01,59,0,4.25
South Lake Tahoe,38.93,-119.98,65.01,18,1,18.34
Singleton,-32.57,151.18,60.75,86,100,4.0
Nyköping,58.75,17.01,37.4,93,40,3.36
Ambilobe,-13.2,49.05,72.23,77,5,4.41
Saint Anthony,45.02,-93.22,31.08,50,40,9.17
Puerto Carreño,6.19,-67.49,80.31,79,67,3.96
Cabo San Lucas,22.89,-109.91,88.54,58,20,9.17
Peace River,56.25,-117.29,26.6,45,20,18.34
Hambantota,6.12,81.12,77.0,94,0,4.7
Izhma,65.01,53.91,25.63,97,100,6.55
Florianópolis,-27.61,-48.5,73.72,73,75,9.17
Biak,-0.91,122.88,77.97,77,100,1.68
Kirakira,-10.45,161.92,84.27,72,1,7.14
Salamá,14.83,-86.58,81.23,74,73,1.9
Skovorodino,53.98,123.92,25.39,96,0,3.24
Taihe,30.87,105.38,64.87,66,100,4.72
Banda Aceh,5.56,95.32,76.6,83,100,8.46
Harlingen,26.19,-97.7,77.97,54,1,9.17
Korla,41.76,86.15,45.0,64,17,1.99
Kadaya,50.93,119.29,27.52,95,1,3.65
Trofors,65.53,13.41,39.09,60,78,11.41
Vila do Maio,15.13,-23.22,78.8,83,100,19.46
Tamala,52.54,43.25,48.29,88,100,2.93
Avera,33.19,-82.53,77.25,74,1,3.36
Arrecife,28.96,-13.55,69.8,68,20,16.11
Srednekolymsk,67.45,153.68,13.3,94,1,4.43
Yining,29.04,114.56,56.82,62,100,1.36
Camargo,27.67,-105.17,88.68,16,41,5.01
Lake Havasu City,34.48,-114.32,83.73,30,1,4.7
Tortosa,40.81,0.52,53.76,71,0,2.64
Forssa,60.81,23.62,35.01,93,84,3.11
Santa María del Oro,25.93,-105.37,83.53,21,5,6.08
Gemeente Wageningen,51.97,5.67,59.72,82,90,17.22
Oban,56.41,-5.47,46.99,80,22,7.0
Ayna,-12.65,-73.92,71.35,58,63,3.47
Tokur,53.13,132.9,26.56,97,100,7.72
Khāsh,28.22,61.22,43.0,57,0,4.52
Moindou,-21.69,165.68,82.4,54,0,8.05
Faanui,-16.48,-151.75,79.32,74,42,7.09
Srandakan,-7.94,110.25,77.36,88,99,8.1
Yerbogachën,61.28,108.01,23.38,97,100,3.38
Cluses,46.06,6.58,43.86,100,0,4.7
Alofi,-19.06,-169.92,75.2,94,100,14.99
Susuman,62.78,148.17,21.9,95,100,3.11
Longyearbyen,78.22,15.64,19.4,85,75,3.36
Hidrolândia,-4.41,-40.44,87.58,43,75,7.52
Nabire,-3.37,135.48,77.76,82,99,3.2
Mandiana,10.63,-8.68,76.87,46,32,2.91
Warrnambool,-38.38,142.48,50.0,70,73,1.01
Marawi,8.0,124.29,73.99,92,100,5.01
Ampanihy,-24.7,44.75,71.46,68,98,6.02
Kiryat Gat,31.61,34.76,77.54,74,75,8.05
Campos dos Goytacazes,-21.75,-41.3,73.4,94,90,9.17
Bundaberg,-24.85,152.35,77.54,73,75,17.22
Severnyy,50.68,36.55,51.8,93,98,6.71
Aksarka,66.56,67.8,9.59,95,8,4.0
Baijiantan,45.63,85.18,44.15,57,89,4.59
London,51.51,-0.13,56.19,87,100,16.11
Shihezi,44.3,86.03,40.57,64,81,3.13
Jackson,42.42,-122.83,61.93,55,90,5.12
Guerrero Negro,27.98,-114.06,72.9,63,16,17.63
Būkān,36.52,46.21,48.24,56,0,2.17
Salalah,17.02,54.09,75.2,41,0,1.12
Peterhead,57.51,-1.8,46.31,87,20,12.75
Atbasar,51.8,68.33,33.03,96,100,23.02
Chu,43.6,73.76,38.57,74,52,3.13
Trelew,-43.25,-65.31,66.06,46,30,16.4
Ndélé,8.41,20.65,72.34,91,80,2.62
Te Anau,-45.42,167.72,61.84,73,100,11.23
Cartagena,10.4,-75.51,82.4,83,75,4.7
Puerto Nariño,-3.77,-70.38,89.6,62,40,4.7
Vallenar,-28.57,-70.76,69.8,42,0,6.87
Meadow Lake,34.8,-106.54,74.7,24,75,9.17
Lakes Entrance,-37.88,147.98,48.99,86,20,1.99
Shahreza,32.03,51.88,43.03,62,0,3.02
Adrar,20.5,-10.07,90.3,11,100,6.96
Sinop Province,41.77,34.87,65.61,36,0,7.16
Ust-Tsilma,65.44,52.15,25.45,97,100,6.4
Shagonar,51.53,92.8,29.59,93,98,1.1
Vuktyl,63.86,57.31,24.35,98,100,10.22
Areosa,41.72,-8.86,63.3,100,75,20.8
Ayorou,14.73,0.92,87.58,13,0,8.77
Magistral'nyy,56.17,107.45,35.04,93,100,3.15
Karpathos,35.51,27.21,71.6,78,2,13.87
Chāndor,20.33,74.25,70.23,69,68,2.06
Ahipara,-35.17,173.17,66.94,69,19,4.85
Peniche,39.36,-9.38,61.09,89,97,17.0
Upernavik,72.79,-56.15,22.78,95,100,10.67
Kutum,14.2,24.67,73.65,23,3,15.68
Japura,-0.32,102.35,74.86,94,100,1.45
Merced,37.17,-120.75,75.76,36,1,6.93
Saint-François,46.42,3.91,45.7,93,0,5.82
Lumphat,13.49,106.98,72.97,97,100,3.02
Mucuri,-18.09,-39.55,76.01,85,93,13.31
Bodden Town,19.28,-81.25,81.1,78,75,12.75
Manono,-7.3,27.42,71.47,86,50,1.95
Selikhino,50.37,137.5,42.62,87,100,15.55
Washington,47.5,-120.5,37.98,62,2,3.38
Batemans Bay,-35.72,150.18,48.25,93,100,1.99
Vila Velha,-20.33,-40.29,71.6,100,40,4.7
Calbuco,-41.77,-73.13,53.6,66,90,9.17
Cururupu,-1.83,-44.87,77.27,82,11,3.69
Vercelli,45.32,8.42,52.32,91,0,0.94
Balaipungut,1.05,101.28,73.4,100,40,2.01
Mirny,62.54,113.96,23.0,85,75,4.47
Söderhamn,61.3,17.06,35.01,97,91,1.99
Luján,-34.57,-59.1,72.12,84,33,3.0
Laas,46.62,10.7,46.13,86,5,3.36
Atasū,48.68,71.64,31.12,78,90,13.47
Yangi Marg`ilon,40.43,71.72,44.6,56,100,6.93
Kitimat,54.05,-128.65,39.99,44,0,1.01
Monrovia,6.3,-10.8,78.8,94,20,4.72
Manggar,-2.88,108.27,77.92,83,100,4.27
Keningau,5.34,116.16,75.09,94,20,4.7
Atambua,-9.11,124.89,76.75,83,14,1.68
São Filipe,14.9,-24.5,81.55,73,96,10.71
Sonoita,31.85,-112.83,88.0,23,100,11.36
Manakara,-22.13,48.02,68.67,86,8,5.19
Zabid,14.2,43.32,84.92,59,5,4.52
Caravelas,-17.71,-39.25,75.31,85,77,8.1
Vanderhoof,54.02,-124.02,27.52,84,1,2.42
Inongo,-1.95,18.27,72.1,95,100,3.71
Itarema,-2.92,-39.92,79.81,79,0,15.46
Valdivia,-39.81,-73.25,53.6,81,75,9.17
Namatanai,-3.67,152.43,82.98,73,23,2.62
Moroni,-11.7,43.26,76.93,74,4,2.86
Taltal,-25.4,-70.48,60.78,67,25,6.29
Khani,41.96,42.96,48.2,93,0,6.93
Necochea,-38.55,-58.74,59.86,94,23,11.3
St. George's,12.06,-61.75,86.0,74,29,18.34
Price,39.6,-110.81,60.8,19,1,9.17
Kondopoga,62.21,34.26,35.6,92,94,8.95
Tuy Hoa,13.08,109.3,72.91,85,86,3.11
Itārsi,22.62,77.75,69.76,61,3,0.72
Lensk,60.73,114.93,27.75,97,96,2.19
Sioux Lookout,50.1,-91.92,28.4,58,75,3.36
Luwuk,-0.95,122.79,78.6,74,100,1.48
Dalvik,65.97,-18.53,42.8,70,90,21.92
Yamada,39.47,141.95,51.35,72,67,10.45
Zenzeli,45.92,47.05,53.26,86,80,3.76
Paragominas,-2.97,-47.48,86.43,49,98,2.98
Broken Hill,-31.95,141.43,46.4,81,90,13.87
Marathon,44.9,-89.77,31.35,96,1,8.05
Genhe,50.78,121.52,24.26,95,0,2.59
Senanga,-16.12,23.27,74.52,22,76,7.31
Kismayo,-0.36,42.55,79.45,84,93,11.72
Lokachi,50.74,24.65,48.0,98,0,11.99
Puerto Ayacucho,5.66,-67.62,80.15,81,74,1.77
Tomatlán,19.93,-105.25,87.4,73,27,9.24
